team,season,w_tot,l_tot,gp_tot
ARI,2000,3,13,16
ARI,2001,7,9,16
ARI,2002,5,11,16
ARI,2003,4,12,16
ARI,2004,6,10,16
ARI,2005,5,11,16
ARI,2006,5,11,16
ARI,2007,8,8,16
ARI,2008,12,8,20
ARI,2009,11,7,18
ARI,2010,5,11,16
ARI,2011,8,8,16
ARI,2012,5,11,16
ARI,2013,10,6,16
ARI,2014,11,6,17
ARI,2015,14,4,18
ARI,2016,8,9,17
ARI,2017,8,8,16
ARI,2018,3,13,16
ARI,2019,6,11,17
ARI,2020,8,8,16
ARI,2021,11,7,18
ARI,2022,4,13,17
ARI,2023,4,13,17
ARI,2024,8,9,17
ARI,2025,3,14,17
ATL,2000,4,12,16
ATL,2001,7,9,16
ATL,2002,10,7,17
ATL,2003,5,11,16
ATL,2004,12,6,18
ATL,2005,8,8,16
ATL,2006,7,9,16
ATL,2007,4,12,16
ATL,2008,11,6,17
ATL,2009,9,7,16
ATL,2010,13,4,17
ATL,2011,10,7,17
ATL,2012,14,4,18
ATL,2013,4,12,16
ATL,2014,6,10,16
ATL,2015,8,8,16
ATL,2016,13,6,19
ATL,2017,11,7,18
ATL,2018,7,9,16
ATL,2019,7,9,16
ATL,2020,4,12,16
ATL,2021,7,10,17
ATL,2022,7,10,17
ATL,2023,7,10,17
ATL,2024,8,9,17
ATL,2025,8,9,17
BAL,2000,16,4,20
BAL,2001,11,7,18
BAL,2002,7,9,16
BAL,2003,10,7,17
BAL,2004,9,7,16
BAL,2005,6,10,16
BAL,2006,13,4,17
BAL,2007,5,11,16
BAL,2008,13,6,19
BAL,2009,10,8,18
BAL,2010,13,5,18
BAL,2011,13,5,18
BAL,2012,14,6,20
BAL,2013,8,8,16
BAL,2014,11,7,18
BAL,2015,5,11,16
BAL,2016,8,8,16
BAL,2017,9,7,16
BAL,2018,10,7,17
BAL,2019,14,3,17
BAL,2020,12,6,18
BAL,2021,8,9,17
BAL,2022,10,8,18
BAL,2023,14,5,19
BAL,2024,13,6,19
BAL,2025,8,9,17
BUF,2000,8,8,16
BUF,2001,3,13,16
BUF,2002,8,8,16
BUF,2003,6,10,16
BUF,2004,9,7,16
BUF,2005,5,11,16
BUF,2006,7,9,16
BUF,2007,7,9,16
BUF,2008,7,9,16
BUF,2009,6,10,16
BUF,2010,4,12,16
BUF,2011,6,10,16
BUF,2012,6,10,16
BUF,2013,6,10,16
BUF,2014,9,7,16
BUF,2015,8,8,16
BUF,2016,7,9,16
BUF,2017,9,8,17
BUF,2018,6,10,16
BUF,2019,10,7,17
BUF,2020,15,4,19
BUF,2021,12,7,19
BUF,2022,14,4,18
BUF,2023,12,7,19
BUF,2024,15,5,20
BUF,2025,13,6,19
CAR,2000,7,9,16
CAR,2001,1,15,16
CAR,2002,7,9,16
CAR,2003,14,6,20
CAR,2004,7,9,16
CAR,2005,13,6,19
CAR,2006,8,8,16
CAR,2007,7,9,16
CAR,2008,12,5,17
CAR,2009,8,8,16
CAR,2010,2,14,16
CAR,2011,6,10,16
CAR,2012,7,9,16
CAR,2013,12,5,17
CAR,2014,8,9,17
