team,season,gp_tot,cmp_tot,att_tot,p_yds_tot,p_tds_tot,int_tot,sacked_tot,p_airyds_tot,p_yac_tot,p_1sts_tot,p_epa_tot,carr_tot,ru_yds_tot,ru_tds_tot,ru_fumb_tot,ru_1sts_tot,ru_epa_tot,rec_tot,tgts_tot,rec_yds_tot,rec_tds_tot,rec_fumb_tot,rec_airyds_tot,rec_yac_tot,rec_1sts_tot,rec_epa_tot
ARI,2000,16,316,554,3478,16,24,35,241,3478,156,-62.4974304594512,343,1278,6,12,80,-70.75991958176138,316,542,3478,16,6,241,0,156,1.903431561215978
ARI,2001,16,304,526,3653,18,14,29,174,3653,177,39.79760293270837,400,1449,10,14,89,-63.02984262981325,304,513,3653,18,4,174,0,177,88.41751428906375
ARI,2002,16,291,548,3038,18,22,41,352,3038,148,-77.48663112968721,414,1823,10,14,106,-33.0789361582349,291,528,3038,18,1,352,0,148,19.75523315046393
ARI,2003,16,303,534,3270,18,22,43,0,3270,148,-96.05631849401881,404,1537,5,12,87,-68.25520174975014,303,0,3270,18,4,0,0,148,243.00805883594464
ARI,2004,16,299,533,3202,14,18,39,0,3202,153,-73.68851373004196,475,1668,15,8,93,-48.94135163148633,299,0,3202,14,4,0,0,153,245.0710628100744
ARI,2005,16,419,670,4719,21,21,45,0,4719,224,14.199671076323309,360,1138,2,10,67,-85.039757542053,419,0,4719,21,3,0,0,224,339.692105256787
ARI,2006,16,321,544,3919,17,17,34,4284,1603,187,13.125957288532796,421,1338,12,11,92,-62.5752625000947,321,0,3919,17,3,4284,1582,187,294.41473954424987
ARI,2007,16,357,591,4220,32,24,24,5048,1593,210,32.068676141912135,402,1450,9,14,83,-46.26599723060595,357,0,4220,32,7,5048,1588,210,313.77500853726065
ARI,2008,20,511,766,6021,42,18,33,5379,2846,283,141.48014283017483,451,1545,16,6,98,-58.481377772576714,511,2,6021,42,6,5379,2846,283,457.0204964183061
ARI,2009,18,446,664,4850,33,19,28,5063,2067,250,62.189655163452386,402,1746,18,14,95,-39.16348077682778,446,654,4850,33,7,5063,2067,250,93.50171101233344
ARI,2010,16,285,561,3264,10,19,50,5234,1080,154,-166.6219119015949,320,1388,9,7,74,-40.11929590492562,285,553,3264,10,4,5234,1080,154,-85.18928602623049
ARI,2011,16,307,550,3954,21,23,54,4876,1730,175,-67.98118410171392,389,1625,12,8,87,-14.740825557895226,307,541,3954,21,4,4876,1730,175,12.819638851276025
ARI,2012,16,337,608,3383,11,21,58,4862,1363,169,-187.42837781959682,352,1204,10,6,63,-75.3151613585965,337,605,3383,11,2,4862,1363,169,-81.37890261318896
ARI,2013,16,363,574,4291,24,22,41,5284,1756,205,10.817030994019262,422,1540,12,7,85,-48.296146123687286,363,562,4291,24,3,5284,1756,205,74.71127118970293
ARI,2014,17,336,596,4072,22,14,32,6277,1623,197,1.8993567532532403,412,1335,7,4,69,-68.99068055883782,336,589,4072,22,5,6277,1623,197,47.88038817729333
ARI,2015,18,401,644,5359,39,19,33,6955,2057,267,128.29267321174052,487,2017,17,8,102,-30.44879961907596,401,632,5359,39,4,6955,2057,267,185.9260714637027
ARI,2016,16,383,646,4425,28,17,41,6204,1747,231,19.32708969324939,399,1732,20,11,108,-33.14029407170747,383,636,4425,28,5,6204,1747,231,88.19401110443647
ARI,2017,16,339,598,3979,21,18,52,5807,1457,201,-79.08164990382774,409,1386,6,9,75,-81.77302357564938,339,592,3979,21,3,5807,1457,201,-7.616946862073659
